도서명,저자,출판사,출판년도,청구기호,등록번호
음악이 흐르면,이이삼 지음,쌤앤파커스/ 2024문학나눔,2024,813.8,HBML04001
지구 파리 사라지다,김모나,걸음동무/ 2024문학나눔,2024,813.7,HBML04002
다이빙,"호아킨 캄프 글·그림,김여진 옮김",노는날/ 2024문학나눔,2023,873,HBML04003
우리 나가 놀자 : 루시 그림책,루시 지음,미디어창비/ 2024문학나눔,2023,813.7,HBML04004
봄이 들면,김영화,이야기꽃/ 2024문학나눔,2024,813.7,HBML04005
깡깡깡,이영아 지음,빨간콩/ 2024문학나눔,2024,813.8,HBML04006
겁쟁이 에버그린 그림책 : 두근두근 첫 심부름,"매튜 코델 글·그림,이상희 옮김",미세기/ 2024문학나눔,2023,843,HBML04007
냄새 맡은 값,모서현 글·그림,현북스/ 2024문학나눔,2024,813.5,HBML04008
노란 길을 지켜 줘,박선영 글·그림,노란상상/ 2024문학나눔,2023,813.7,HBML04009
소원이 이루어질 거야,오승민 글·그림,다그림책/ 2024문학나눔,2024,813.7,HBML04010
눈물을 참았습니다  : 이하연 그림책,이하연,책읽는곰/ 2024문학나눔,2024,813.7,HBML04011
이웃  : 김성미 그림책,김성미,책읽는곰/ 2024문학나눔,2024,813.7,HBML04012
누가 아피아를 치료할까,"에스테르 뒤플로 글,샤이엔 올리비에 그림,최진희 옮김",라이브리안/ 2024문학나눔,2023,308,HBML04013
멸치 다듬기,"이상교 글,밤코 그림",문학동네/ 2024문학나눔,2024,811.8,HBML04014
나무야 나무야  : 김지영 그림책,김지영,소원나무/ 2024문학나눔,2024,813.7,HBML04015
난 부끄러워하는 게 아니야 그저 조용할 뿐이야  : 우리 모두의 내면에 있는 내향성을 위하여,"앤디 파워스 글,벳시 피터슨 그림,이현아 옮김",상상의힘/ 2024문학나눔,2024,843,HBML04016
초밥이 옷을 사러 갔어요,"타나카 타츠야 지음,권남희 옮김",토토북/ 2024문학나눔,2024,833.6,HBML04017
그림책 클림트의 정원으로,김혜진 지음,보림/ 2024문학나눔,2023,813.8,HBML04018
김장,"이향안 글,배현주 그림",현암주니어/ 2024문학나눔,2023,594,HBML04019
너는 이야기야,"밥 라츠카 글,크리스틴 하우데셀,케빈 하우데셀 그림,신형건 옮김",보물창고/2024문학나눔,2024,843,HBML04020
모험을 떠나는 단추로 부터,"차영미 시,이한재 그림",단비어린이/ 2024문학나눔,2024,811.8,HBML04021
구덩이에 빠졌어!,"김미애 글,다나 그림",바람의아이들/ 2024문학나눔,2024,808.9,HBML04022
1센티미터 숲,"변은경 시,이윤희 그림",문학동네/ 2024문학나눔,2024,811.8,HBML04023
윌로딘  : 괴물을 사랑한 아이,"캐서린 애플게이트, 찰스 산토소,옮긴이: 서현정",가람어린이/ 2024문학나눔,2023,843,HBML04024
고마워  : 민시우 동시집,"민시우 글,그림",gasse(가쎄)/ 2024문학나눔,2024,811.8,HBML04025
그숲의 마음아이,나은경 쓰고 그림,봄볕/2024문학나눔,2023,813.7,HBML04026
기린 놀이터에서 만나,"문은아 글,이명희 그림",한울림어린이/ 2024문학나눔,2023,813.7,HBML04027
진짜 가족이 되어 주세요,"강미경 글,김수영 그림",아롬주니어/ 2024문학나눔,2023,813.7,HBML04028
동시 백화점  : 세상에 없는 것만 팝니다,"권영상 동시,효뚠 그림",국민서관/ 2024문학나눔,2024,811.8,HBML04029
(말하지 않아도 내 마음을 아는) 도깨비 언니,"윤슬 글,코끼리씨 그림",프롬아이/2024문학나눔,2018,813.8,HBML04030
(말하지 않아도 내 마음을 아는) 도깨비 언니,"윤슬 글,코끼리씨 그림",프롬아이/2024문학나눔,2023,813.8,HBML04031
2만 원짜리 엄마,"조은진 글,심윤정 그림",북멘토/ 2024문학나눔,2024,813.7,HBML04032
눈물 도둑,"김태호 글,허아성 그림",리틀씨앤톡/ 2024문학나눔,2024,813.7,HBML04033
(말하지 않아도 내 마음을 아는)도깨비 언니,"윤슬 글,코끼리씨 그림",프롬아이/ 2024문학나눔,2024,813.8,HBML04034
감당 못 할 전학생,"심순 글,하수정 그림",마음이음/ 2024문학나눔,2024,813.7,HBML04035
장난이 아니야  : 디지털 폭력에 맞서는 다섯 편의 이야기,"선자은,이재문,전여울,황지영 글,구정인 만화,에이욥프로젝트 그림,김아미 해설",키다리/ 2024문학나눔,2023,334,HBML04036
나 혼자 우주 전쟁,"조호재, 홍그림",밝은미래/ 2024문학나눔,2024,813.7,HBML04037
거미 엄마,"안수민 글,홍그림 그림",보랏빛소어린이/ 2024문학나눔,2024,813.7,HBML04038
엄마는 구름 같아요,"하이거우팡둥 글,린샤오베이 그림,허동호 옮김",두마리토끼책/ 2024문학나눔,2024,823.7,HBML04039
식물로 보는 한국사 이야기,"신현배 글,김규준 그림",뭉치/2024문학나눔,2024,911,HBML04040
달달달 달려요  : 김도아 그림책,김도아 글 그림,웅진주니어/2024문학나눔,2024,808.9,HBML04041
초능력,"윤여림 글,최미란 그림",위즈덤하우스/ 2024문학나눔,2024,808.9,HBML04042
아빠랑 간질간질,"함지슬, 유현진",바람의아이들/2024문학나눔,2024,813.7,HBML04043
보물찾기,슬로우어스 지음,고래뱃속/ 2024문학나눔,2024,813.8,HBML04044
기리네 집에 다리가 왔다,"강인송 글,소복이 그림",노란상상/2024문학나눔,2024,813.7,HBML04045
책을 즐기는 101가지 방법,"티모테 드 퐁벨, 벵자맹 쇼, 양진희",작은코도마뱀/2024문학나눔,2023,863,HBML04046
얼굴 없는 도둑과 슈퍼히어로,"온잘리 Q. 라우프 글,피파 커닉 그림,정회성 옮김",다봄/ 2024문학나눔,2023,843,HBML04047
노래 꼬리 잡으면 이야기가 시작돼!,"곽미영 글,남주현 그림",만만한책방/ 2024문학나눔,2023,813.7,HBML04048
나는 뚱뚱하다,"최승한 글,한태희 그림",베틀·북/ 2024문학나눔,2024,813.7,HBML04049
미래에서 내 짝꿍이 왔다,"김보경 글,김정진 그림",꿈터/ 2024문학나눔,2024,813.7,HBML04050
빛날 수 있을까,"이지은 글,박은미 그림",샘터/ 2024문학나눔,2024,813.7,HBML04051
선생님의 수상한 결근,"이선정 글,김다정 그림",마주별/ 2024문학나눔,2024,813.7,HBML04052
꽃주머니,"이경순 지음,이지오 그림",마루비/ 2024문학나눔,2024,813.8,HBML04053
나쁜 말 청소부,"신채연 글,김이주 그림",꿈터/2024문학나눔,2023,813.7,HBML04054
생각하고 느끼는 동물들,"카르스텐 브렌징 글,니콜라이 렝거 그림,정일주 옮김",생각비행/2024세종도서,2024,491.51,HBML04055
벌새 하나가 작은 날개를 펼칠 때,"델핀 자코 지음,권오준 옮김",초록귤/2024세종도서,2024,863,HBML04056
나의 첫 유물 박물관 : 선사시대관,최경원 지음,빨간콩/2024세종도서,2024,911,HBML04057
덕분에 건축!  : 인간의 건축에 영감을 준 동식물 이야기,"크리스티안 도리언 글,윤예지 그림,박규리 옮김",책읽는곰/2024세종도서,2023,472,HBML04058
이름보다 오래된  : 문명과 야생의 경계에서 기록한 고라니의 초상,사진· 문선희,가망서사/2024세종도서,2023,668.49,HBML04059
"양봉 바이블  : 벌과 꿀에 대한 모든 것  : 양봉의 역사부터 꿀벌의 생태,  꿀로 만드는 식음료 레시피까지","양봉 바이블 편집위원회,옮긴이: 방경오",돌배나무/2024세종도서,2024,527.7,HBML04060
사소한 상어책  : 상어가 들려주는 지구와 바다의 생명 이야기,김은정 글·그림,한권의책/2024세종도서,2024,497,HBML04061
"인간답게 살 권리,  인권","야요 에레로 글,루이스 데마노 그림,김미경 옮김",풀빛/2024세종도서,2023,342,HBML04062
수학 지능 : 인공지능은 할 수 없는 인간의 일곱 가지 수학 지능,"주나이드 무빈 지음,박선진 옮김",까치/2024세종도서,2025,410,HBML04063
신비 섬 제주 유산  : 아는 만큼 보이는 제주의 역사·문화·자연 이야기,고진숙 지음,블랙피쉬 :백도씨/2024세종도서,2023,981.19902,HBML04064
지구를 살리는 기발한 생각 10  : 기후위기 탈출로 가는 작지만 놀라운 실천들,박경화 지음,한겨레출판 :한겨레엔/2024세종도서,2023,539.9,HBML04065
"(24가지 수업,  생활 교육 고민을 현장 사례로 풀어낸) 교사의 고민에 그림책이 답하다  : 다양한 문제와 고민을 끌어안고 있는 지치고 힘든 교사들을 위해 쉽고 재미있게 풀어낸 그림책 활용 처방전",그림책 아틀리에 36.5 지음,교육과실천/2024세종도서,2023,375.40298,HBML04066
"모두 참여 수업  : 통합교육,  참여가 열쇠다","신상미,이리라,이영수,임경희 지음",새로온봄/2024세종도서,2023,379.1,HBML04067
악마는 잠들지 않는다  : 일상화된 재난의 시대를 살아가는 법,"줄리엣 카이엠,옮긴이: 김효석,이승배,류종기",민음사/2024세종도서,2023,331.5414,HBML04068
(시와 술과 차가 있는) 중국 인문 기행,송재소 지음,창비/2024세종도서,2023,981.202,HBML04069
당신의 방에 아무나 들이지 마라  : 불편한 사람들을 끊어내는 문단속의 기술,"스튜어트 에머리,아이반 마이즈너,더그 하디 지음,신봉아 옮김",쌤앤파커스/2024세종도서,2023,189.2,HBML04070
더 나은 나는 매일의 작은 습관으로 만들어집니다  : 내 인생을 변화시키는 작은 습관의 힘,장근영 지음,메이트북스 :원앤원콘텐츠그룹/2024세종도서,2023,325.211,HBML04071
사라진 홍콩 : 우리가 '홍콩'이라 불렀던 것들의 시작과 끝에 대하여,류영하 지음,산지니/2024세종도서,2024,912.34,HBML04072
당뇨병의 정석,대한당뇨병학회 지음,비타북스/2024세종도서,2024,513.46,HBML04073
걱정 중독  : 실패 혐오 시대의 마음,"롤란드 파울센 지음,배명자 옮김",복복서가/2024세종도서,2024,331.1,HBML04074
『향약구급방』에 나오는 고려시대 식물들,신현철 지음,소명출판/2024세종도서,2024,519.81,HBML04075
"결국,  오프라인  : 경험하고,  공감하고,  관계 맺는 '공간'의 힘",최원석 지음,Designhouse(디자인하우스)/2024세종도서,2024,325.571,HBML04076
신화로 즐기는 품질 여행  : 그리스신화를 품질의 관점에서 해석한 최초의 책,한재훈 지음,KSAM(한국표준협회미디어)/2024세종도서,2024,325.65,HBML04077
"부모됨의 뇌과학  : 환상과 혐오를 넘어,  돌봄의 확장을 탐색하다","첼시 코나보이 지음,정지현 옮김",코쿤북스/2024세종도서,2024,332.24,HBML04078
"회복탄력성의 힘,전자자료  : 쉽게 포기하지 않고 결국 해내는 아이의 비밀",지니 킴 지음,빅피시/2024세종도서,2023,598.1,HBML04079
말을 잘한다는 것  : 일에서도 삶에서도 나의 가치를 높이는 말하기의 정석,정연주 지음,세종서적/2024세종도서,2023,802.5,HBML04080
기후위기행동사전  : 당황하지 않고 새 시대를 사는 법,"김병권,남성현,우석영,이헌석,전병옥",산현재/2024세종도서,2023,539.9,HBML04081
"나는 오늘도 버섯을 관찰합니다  : 버섯을 키우고,  지구 생명을 보살피는 곰팡이를 만나러 떠나는 땅속 여행","헤르트얀 루버르스 글,웬디 판더스 그림,신동경 옮김",판퍼블리싱/2024세종도서,2024,484,HBML04082
쓰레기 책 : 분리배출부터 업사이클링까지,"손영혜 글,도아마 그림",현암주니어/2024세종도서,2024,539.42,HBML04083
엉뚱 발랄 민주주의,"김선영, 김주경",키위북스/2024세종도서,2023,340,HBML04084
"럭셔리 브랜드 시크릿  = ,Luxury brand secret  : 브랜드에 럭셔리의 ego와 가치를 담아라",박유정 지음,Raon Book :라온아시아/2024세종도서,2024,325.571,HBML04085
"미래사회,  공감이 진짜 실력이다  : 세상을 바꾸는 교실 공감교육",도대영 지음,푸른칠판/2024세종도서,2023,372.2,HBML04086
식물이라는 세계,송은영 지음,RHK(알에이치코리아)/2024세종도서,2024,481.508,HBML04087
요즘 부모 육아 정석  : 소아과 닥터맘이 제대로 딱 정해주는 100가지 육아 기준,예혜련 지음,카시오페아(카시오페아 출판사)/2024세종도서,2023,598.1,HBML04088
(삼국유사가 품은) 식물 이야기,안진흥 지음,지오북/2024세종도서,2023,481.508,HBML04089
2분의 1 : 인생 반전을 일으키는 절반의 철학,유영만 지음,블랙피쉬/2024세종도서,2024,199.1,HBML04090
세상은 왜 다른 모습이 아니라 이런 모습일까?,김범준 지음,바다/2024세종도서,2025,420.04,HBML04091
좋아하는 건축가 한 명쯤  : 미켈란젤로부터 김중업까지 19인의 건축거장,장정제 지음,지식의숲 :넥서스/2024세종도서,2024,540.099,HBML04092
눈이 보이지 않는 친구와 예술을 보러 가다,"가와우치 아리오 지음,김영현 옮김",다다서재/2024세종도서,2024,650.4,HBML04093
일할 사람이 사라진다  : 새로 쓰는 대한민국 인구와 노동의 미래,이철희 지음,위즈덤하우스/2024세종도서,2024,321.51,HBML04094
스무 살의 마음 연습  : 숨과 함께하는 온전함으로의 여행,"에릭 B. 룩스 지음,김완두,박용표,김경희,김윤희 옮김",불광출판사/2024세종도서,2024,189.1,HBML04095
(십 대를 위한) 몸매 안내서,"도미니크 아델 카수토, 티티페, 류은소라",원더박스/2024세종도서,2023,517,HBML04096
너에게 좋은 부모이고 싶어서  : 매일 화내고 반성하고 자책하는 부모를 위한 리라쌤의 마음 성장 프로젝트,리라쌤 지음,책과이음/2024세종도서,2023,598.1,HBML04097
"몽아학당의 아이들  : 할아버지가 들려주는 삶의 지혜,  사람의 길","손종진,이태훈,이태준,박수현,박주현 지음",이음/2024세종도서,2024,818,HBML04098
1일 1단어 1분으로 끝내는 IT공부  : 빠르게 변화하는 정보 기술을 파악하는 가장 쉬운 방법,류한석 지음,글담출판(글담출판사)/2024세종도서,2023,004,HBML04099
"내 가게를 위한 브랜딩은 달라야 합니다  = ,My store branding  : 초보 사장님을 위한 영화 속 마케팅 공식 15",정나영 지음,청림출판/2024세종도서,2023,325.5,HBML04100
모두 참여 수업  : 정답은 아니어도 답은 있다,"손윤선,김양숙,이수현 지음",새로온봄/2024세종도서,2024,379.1,HBML04101
챗GPT 질문의 기술: 당신의 미래를 바꿀 생성 AI 프롬프트 인사이트,이선종 저,영진닷컴/2024세종도서,2024,004.73,HBML04102
관점 하나 바꿨을 뿐인데  : 고정 관념을 깨는 35가지 심리 법칙,이민규 지음,유노북스 /2024세종도서,2023,181.9,HBML04103
삼국지 경영학 수업,"다케우치 요시오,가와사키 아쓰시 지음,박재영 옮김",현익출판/2024세종도서,2024,325.24,HBML04104
그 새벽 너의 카톡은,송수진 지음,사람의무늬/2024세종도서,2024,186.3,HBML04105
(불끈불끈) 마음의 힘 사전  : 어린이들이 갖춰야 할 25가지 마음의 능력,"류윤환 글,김잔디 그림",그린북/2024세종도서,2024,189,HBML04106
"(대충 봐도 머리에 남는) 어린이 친환경 상식  : 생각보다 쉽고,  실천하면 행복한 친환경 상식","김나나, 보선",블루무스어린이/2024세종도서,2024,539,HBML04107
50이면 육아가 끝날 줄 알았다  : 부모와 성인 자녀의 성숙한 인간관계를 위해 알아야 할 것들,"로렌스 스타인버그 지음,김경일,이은경 옮김",저녁달/2024세종도서,2024,189.24,HBML04108
프롬프트 엔지니어링,반병현 지음,생능북스/2024세종도서,2024,004.73,HBML04109
말과 태도 사이  : 말과 태도에 품격을 더하는 법,유정임 지음,Tornado(토네이도미디어그룹)/2024세종도서,2023,802.56,HBML04110
게으르게 읽는 제로베이스 철학,이인 지음,그린비/2024세종도서,2025,160,HBML04111
(무섭지만 재밌어서 밤새 읽는)지구과학 이야기,"사마키 다케오 외지음,김정환 옮김",더숲/2024세종도서,2023,450,HBML04112
옷을 입다 패션을 만들다  : 패션 디자이너의 특별한 옷 이야기,정연이 지음,에코리브르/2024세종도서,2024,592.01,HBML04113
우리는 동물 권리에 진심,"서국화,신수경,이혜윤,PNR 글,송종희 그림",봄나무/2024세종도서,2023,194,HBML04114
미래 관찰자의 살아 있는 아이디어,서울대학교 국가미래전략원 편저,포르체/2024세종도서,2025,331.5412,HBML04115
매일 숙면  : 못 자는 이유부터 잘 자는 방법까지,주은연 지음,유노라이프 :유노콘텐츠그룹/2024세종도서,2024,517.31,HBML04116
"알레르기의 시대 : 자극적인 시대,  예민한 몸으로 살아가는 우리 모두를 위한 책","테리사 맥페일 지음,장혜인 옮김",상상스퀘어/2024세종도서,2024,513.923,HBML04117
"인공지능이 할 수 있는 것,  할 수 없는 것",강국진 지음,필로소픽/2024세종도서,2024,004.73,HBML04118
매우 예민한 사람들을 위한 상담소,전홍진 지음,한겨레출판/2024세종도서,2025,186.3,HBML04119
도시 대 도시! 맞짱 세계지리 수업  : 지리 쌤과 함께 떠나는 별별 도시 여행,"조지욱 지음,송진욱 그림",주니어태학 :태학사/2024세종도서,2024,980,HBML04120
"나 없이는 존재하지 않는 세상,전자자료  : 카를로 로벨리의 기묘하고 아름다운 양자 물리학","카를로 로벨리 지음,김정훈 옮김,이중원 감수",쌤앤파커스/2024세종도서,2023,420.13,HBML04121
모던 키친 : 농장 공장 주방,박찬용 지음,에이치비프레스/2024세종도서,2024,574.07,HBML04122
"시간이 놓친 역사,  공간으로 읽는다",여호규 지음,푸른역사/2024세종도서,2025,911.02,HBML04123
왜 과학이 문제일까?,김동광 지음,반니/2024세종도서,2024,404,HBML04124
(다섯 살부터 부모와 함께 읽는)프랑스식 긍정 성교육 : 요즘 아이가 가장 알고 싶어 하는 120가지 질문,"샤를린 베르몽 지음,이주영 옮김",시프/2024세종도서,2024,598.55,HBML04125
감정의 피부가 약한 사람들을 위한 책  : 현대인의 경계성 성격장애에 관한 완벽한 가이드,"제럴드 J. 크리스먼,할 스트라우스 지음,이미정 옮김",마인드빌딩/2024세종도서,2023,513.8545,HBML04126
소녀들의 감정 수업  : 21세기 젊은 여성을 위한 생존 심리학,"타라 포터 지음,백지선 옮김",또다른우주/2024세종도서,2024,183.3,HBML04127
가부장 자본주의 : 여성과 남성은 왜 각각 불행한가,"폴린 그로장 지음,배세진 옮김",민음사/2024세종도서,2025,337.2,HBML04128
"궁금했어,  기후 변화","조성문 글,나수은 그림",나무생각/2024세종도서,2024,453.9,HBML04129
스몰 트라우마 : 삶의 면역을 기르는 자기 돌봄의 심리학,"멕 애럴 지음,박슬라 옮김",갤리온/2024세종도서,2022,186.5,HBML04130
이야기 수업 : 영화감독 육상효와 함께하는 시나리오 쓰기,육상효 지음,알렙/2024세종도서,2025,802.26,HBML04131
"상징의 숲,  등록 : 왕실 가족의 삶과 문화를 담다",김지영 지음.,민속원/2024세종도서,2024,911,HBML04132
"마음 지구력  = ,Mental endurance  : 삶의 경로를 재탐색하는 발칙한 끈기에 대한 이야기",윤홍균 지음,21세기북스(북이십일 21세기북스)/2024세종도서,2024,189.1,HBML04133
(고양이도 이해하는) 니체  : 니체 철학을 관통하는 50가지 키워드,이채윤 지음,행복한마음/2024세종도서,2023,165.77,HBML04134
법구경 마음공부  : 걱정 많은 삶을 평온하게 바꾸는 법,정운 지음,유노책주 :유노콘텐츠그룹/2024세종도서,2024,223.52,HBML04135
"동굴 밖으로 나온 필로와 소피 : 공자부터 롤스까지,  동화로 읽는 13가지 철학 이야기","이진민 글,김새별 그림",지와사랑/2024세종도서,2024,104,HBML04136
부동산과 정치  : 문재인 정부의 좌절과 한국사회의 과제,김수현 지음,오월의봄/2024세종도서,2023,321.326,HBML04137
마음건강수업  : 학생과 교사의 행복한 성장을 돕는 최신 안내서,"에이드리언 베튠 지음,장현주,송수정 옮김",교육을바꾸는책/2024세종도서,2024,373.2,HBML04138
선면화의 세계,이인숙 지음,눌와/2024세종도서,2025,653.11,HBML04139
"맹자,  칼과 정치는 다름이 없다",유문상 지음,렛츠북/2024세종도서,2025,152.216,HBML04140
(프롬프트 엔지니어링으로)인공지능 제대로 일 시키기,"이규남,조우진,김동민 공지음",Jpub:제이펍/2024세종도서,2024,004.73,HBML04141
느리게 나이 드는 습관 : 노년내과 의사가 알려주는 감속노화 실천법,정희원 지음,한빛라이프/2024세종도서,2024,511.1689,HBML04142
"공부 감각,  10세 이전에 완성된다  : 옥스퍼드대 조지은 교수가 알려주는 평생을 좌우하는 공부 베이스",조지은 지음,쌤앤파커스/2024세종도서,2023,598.6,HBML04143
(10대를 위한) 돈으로 살 수 없는 것들,"마이클 샌델 원저,이현희 글",미래엔아이세움/2024세종도서,2024,193,HBML04144
"코딩도 하고,  사장도 합니다  : 오너프로그래머의 개발자 36년,  회사 대표 24년의 기록",한수봉 지음,Jpub(제이펍)/2024세종도서,2024,325.211,HBML04145
당신의 인생에서 꼭 한 번은 맹자를 만나라,"판덩 지음,김가경 옮김",이든서재/2024세종도서,2024,148.4,HBML04146
사람이 사는 미술관,박민경 지음,그래도봄/2024세종도서,2024,342.1,HBML04147
0~5세 골든 브레인 육아법  : 스탠퍼드대 박사 엄마가 알려 주는 영유아 두뇌 발달 컨설팅,김보경 지음,Whale Books(웨일북)/2024세종도서,2024,598.1,HBML04148
불안이 많은 아이 : 아이 스스로 일어서는 힘을 길러주는 방법,이다랑 지음,한빛라이프/2024세종도서,2024,598.1,HBML04149
"아이들의 화면 속에선 무슨 일이 벌어지고 있는가  : 중독과 저항,  새로운 정체성의 관문",김지윤 지음,Sideways(사이드웨이)/2024세종도서,2024,334.3,HBML04150
챗GPT의 거짓말  : 인공지능의 약점과 거짓말에 각성하라,트렌드연구소,동양북스/2024세종도서,2023,004.73,HBML04151
"생각 중독,전자자료  : 불안과 후회를 끊어내고 오늘을 사는 법","닉 트렌튼 지음,박지선 옮김",갤리온/2024세종도서,2024,181.71,HBML04152
괴물 부모의 탄생 : 공동체를 해치는 독이 든 사랑,김현수 지음,우리학교/2024세종도서,2025,370.4,HBML04153
"요가 인문학  : 역사,  철학,  수행법의 정신 문화사적 이해","이정수,이동환 공지음",판미동/2024세종도서,2023,512.57,HBML04154
어떻게 극단적 소수가 다수를 지배하는가  : 우리의 민주주의가 한계에 도달한 이유,"스티븐 레비츠키,대니얼 지블랫 지음,박세연 옮김",어크로스(어크로스출판그룹)/2024세종도서,2024,340.22,HBML04155
(만화로 보는) 좌충우돌 몽골제국사,봉닭 글·그림,한빛비즈/2024세종도서,2024,912.6,HBML04156
부자 되기를 가르치는 학교  : 돈을 위한 경제교육을 넘어,"글쓴이: 하금철,채효정,진냥,장윤호,이윤승,이영주,서재민,서부원,박내현,김형성",교육공동체 벗/2024세종도서,2023,320.07,HBML04157
(무섭지만 재밌어서 밤새 읽는) 식물학 이야기,"이나가키 히데히로 지음,김소영 옮김",더숲/2024세종도서,2023,480,HBML04158
스티브 잡스는 왜 오징어 게임을 죽였을까?  : 4일 만에 이해하는 IT 지식,조성호 지음,생능북스 :생능출판사/2024세종도서,2023,004,HBML04159
영화관에 간 약사  : 약사가 들려주는 영화 속 미스터리한 14가지 약물 사건  : 우리 일상과 밀접한 약 이야기,송은호 지음,믹스커피/2024세종도서,2024,518.04,HBML04160
동물이 만드는 지구 절반의 세계  : 인슐린 발견에서 백신의 기적까지 인류의 역사를 뒤바꾼 동물들,장구 지음,21세기북스(북이십일 21세기북스)/2024세종도서,2023,470,HBML04161
"내 그림자에 빛이 들어오기 시작했다  = ,A light in the dark  : 어느 정신분석학자의 꿈 일기",김서영 지음,생각속의집/2024세종도서,2024,185.5,HBML04162
"아이를 움직이는 한 줄 고전의 힘,전자자료  : 아이가 내 마음 같지 않을 때",이은정 지음,서사원/2024세종도서,2024,029.8,HBML04163
선택한다는 착각 : 괘씸하지만 속을 수밖에 없는 16½가지 마케팅 심리학,"리처드 쇼튼 지음,이애리 옮김",한즈미디어(한스미디어)/2024세종도서,2023,325.5,HBML04164
어른을 키우는 어른을 위한 심리학,하지현 지음,은행나무/2024세종도서,2024,189.24,HBML04165
아주 일상적인 철학  : 마음을 힘들게 하는 생각 습관 벗어나기,박은미 지음,EBS Books :한국교육방송공사/2024세종도서,2023,189,HBML04166
(이승과 저승을 소통하는) 한글 제문,"이복규,정재윤",책:봄(책봄출판사)/2024세종도서,2024,384.7,HBML04167
(유홍준의) 한국미술사 강의,유홍준 지음,눌와/2024세종도서,2022,609.11,HBML04168
(알고 보면 흥미로운) 클래식 잡학사전  : 나를 위한 예술 교양 레벨 업,정은주 지음,해더일/2024세종도서,2023,670,HBML04169
"AI,  질문이 직업이 되는 세상  : AI 시대,  답이 아니라 질문이 핵심이다  : 미래를 관통하는 청소년 액션 전략서","최서연,전상훈 지음",미디어숲 :다빈치하우스/2024세종도서,2024,331,HBML04170
(대충 봐도 머리에 남는)어린이 야구 상식,"김양희 글,나인완 그림",블루무스어린이/2024세종도서,2024,695.7,HBML04171
멸종했지만 진화합니다,"박재용 지음,방상호 그림",영수책방/2024세종도서,2024,476,HBML04172
위대한 관계  : 우리 삶에 필요한 예술가적 통찰과 상상,김상균 지음,효형출판/2024세종도서,2024,600.1,HBML04173
"나,  개발자로 100명 취업시켰다  : 취업 준비부터 면접 노하우,  두고두고 보는 개발자 상식까지!",김규석 지음,이지스퍼블리싱/2024세종도서,2024,005.1,HBML04174
미래의 과학자들에게  : 노벨상 수상자가 내일의 과학자들에게 전하는 과학의 매력과 즐거움,"오스미 요시노리,나가타 가즈히로 지음,구수영 옮김",마음친구/2024세종도서,2024,404,HBML04175
역사 문해력 수업 : 누구나 역사를 말하는 시대에 과거와 마주하는 법,최호근 지음.,푸른역사/2024세종도서,2024,901,HBML04176
명료하게 생각하는 법 : 극단과 반이성의 소음 속에서 살아 가는 현대인을 위한 명확한 사고의 기술,"크리스테르 스투르마르크 지음,더글러스 호프스태터 편역,최이현 옮김",비잉/2024세종도서,2023,334.2,HBML04177
"세계 그 자체 : 현대 과학에 숨어 있는,  실재에 과한 여덟 가지 철학","울프 다니엘손 지음,노승영 옮김",동아시아/2024세종도서,2023,404,HBML04178
『도덕경』 읽기,김진근 지음,세창미디어/2024세종도서,2023,152.222,HBML04179
다정한 인공지능을 만나다,장대익 지음,샘터/2024세종도서,2025,331.5412,HBML04180
(궁금해!) 지구를 살리는 미래과학 수업 : 십 대가 꼭 알아야 할 친환경 과학기술,"박재용 글,이크종 그림.",청어람미디어/2024세종도서,2024,539.9,HBML04181
은유가 바꾸는 세상,"김용규,김유림 공지음",천년의상상/2024세종도서,2025,104,HBML04182
이토록 다정한 공부  : 어른에게도 성교육이 필요하다,김항심 지음,어떤책/2024세종도서,2023,334.225,HBML04183
(제2의 뇌)장 혁명 : 깨끗한 장이 병을 치유한다,김나영 지음,국일미디어/2024세종도서,2024,513.35,HBML04184
블루 머신  : 바다는 어떻게 세계를 만들고 생명과 에너지를 지배하는가,"헬렌 체르스키 지음,김주희 옮김",쌤앤파커스/2024세종도서,2024,454,HBML04185
보드게임과 자라나는 아이들 : 아이의 마음을 열고 세상과 연결하는 보드게임의 힘,게임성장연구소 지음,WellBook:웰북/2024세종도서,2024,373.3,HBML04186
삶이 괴로울 땐 공부를 시작하는 것이 좋다,박치욱 지음,웨일북/2024세종도서,2024,199.1,HBML04187
(인공지능과 함께 쓴) AI 저널리즘,김창룡,이지출판/2024세종도서,2024,070.4,HBML04188
(이임숙의) 결국 잘되는 우리 아이,이임숙 지음,EBS한국교육방송공사/2024세종도서,2023,598.1,HBML04189
(어린이가 알아야 할) 식량 위기와 미래 식량 이야기,"박하연 글,박선하 그림",팜파스/2024세종도서,2023,335,HBML04190
차이나는 클라스  : 생각의 차이를 만드는 지식 교양서,"김정욱, 미늉킴",Mirae N 아이세움 :미/2024세종도서래엔,2023,001,HBML04191
"2023 2024 파리 생제르맹 가이드북  = ,20232024 PSG guide book",Hong Jaemin: author,Brainstore/2024세종도서,2023,695.4,HBML04192
궁금하고 알아보면 재미있는 한국어 이야기,"이창덕,조형일,강남욱",역락/2024세종도서,2023,710,HBML04193
"대화의 정석 : 일,  관계,  인생을 뒤바꾸는 대화의 기술",정흥수(흥버튼) 지음,FIKA(피카)/2024세종도서,2023,802.56,HBML04194
부엌에서 물리 찾기,"청유재 사람들,박병윤,권경훈,박혜연,박준규 지음",북스힐/2024세종도서,2023,420,HBML04195
